Prune_Layer,Batch_Size,Pruning_Percentage,CE_Type,AUC
FHL+SHL,1024,0.94,Avg_CE_Train,99.85994204632468
FHL+SHL,1024,0.92,Avg_CE_Train,92.16190442940893
FHL+SHL,1024,0.9,Avg_CE_Train,86.78496861845095
FHL+SHL,1024,0.8,Avg_CE_Train,74.29512240837155
FHL+SHL,1024,0.7,Avg_CE_Train,73.49466926604829
FHL+SHL,1024,0.6,Avg_CE_Train,76.35972672163996
FHL+SHL,1024,0.5,Avg_CE_Train,77.28636791261246
FHL+SHL,1024,0.4,Avg_CE_Train,79.5269584320868
FHL+SHL,1024,0.3,Avg_CE_Train,82.7449741282481
FHL+SHL,1024,0.2,Avg_CE_Train,86.3573873815436
FHL+SHL,1024,0.1,Avg_CE_Train,88.49846221742605
FHL+SHL,1024,0.0,Avg_CE_Train,93.12879686454568
FHL+SHL,1024,1.0,Avg_CE_Test,642.4212409453388
FHL+SHL,1024,0.995,Avg_CE_Test,381.8791994165705
FHL+SHL,1024,0.99,Avg_CE_Test,228.20748054649704
FHL+SHL,1024,0.985,Avg_CE_Test,174.12545404649703
FHL+SHL,1024,0.98,Avg_CE_Test,134.23913496358819
FHL+SHL,1024,0.96,Avg_CE_Test,107.89503384439186
FHL+SHL,1024,0.94,Avg_CE_Test,96.74357094785472
FHL+SHL,1024,0.92,Avg_CE_Test,89.0898459738664
FHL+SHL,1024,0.9,Avg_CE_Test,83.87484577773328
FHL+SHL,1024,0.8,Avg_CE_Test,71.73375934636931
FHL+SHL,1024,0.7,Avg_CE_Test,71.10859890368741
FHL+SHL,1024,0.6,Avg_CE_Test,74.15043580517029
FHL+SHL,1024,0.5,Avg_CE_Test,75.16190920947928
FHL+SHL,1024,0.4,Avg_CE_Test,77.56752060822336
FHL+SHL,1024,0.3,Avg_CE_Test,80.90891233639849
FHL+SHL,1024,0.2,Avg_CE_Test,84.59980779826402
FHL+SHL,1024,0.1,Avg_CE_Test,86.90320862274478
FHL+SHL,1024,0.0,Avg_CE_Test,91.59730221433216
ALL,64,1.0,Avg_CE_Train,89.80081862676779
ALL,64,0.995,Avg_CE_Train,87.49765184841368
ALL,64,0.99,Avg_CE_Train,87.48331963949106
ALL,64,0.985,Avg_CE_Train,87.41385754649703
ALL,64,0.98,Avg_CE_Train,87.13498604649702
ALL,64,0.96,Avg_CE_Train,78.57733149999999
ALL,64,0.94,Avg_CE_Train,66.18346604649705
ALL,64,0.92,Avg_CE_Train,56.53520454649703
ALL,64,0.9,Avg_CE_Train,50.7343465
ALL,64,0.8,Avg_CE_Train,38.6429075
ALL,64,0.7,Avg_CE_Train,34.911668999999996
ALL,64,0.6,Avg_CE_Train,35.37821004649704
ALL,64,0.5,Avg_CE_Train,38.18454851146725
ALL,64,0.4,Avg_CE_Train,39.87559619745534
ALL,64,0.3,Avg_CE_Train,41.76380538344344
ALL,64,0.2,Avg_CE_Train,44.58343647643747
ALL,64,0.1,Avg_CE_Train,46.88505797643748
ALL,64,0.0,Avg_CE_Train,52.14608966242557
ALL,64,1.0,Avg_CE_Test,89.80081862676779
ALL,64,0.995,Avg_CE_Test,89.80020534841367
ALL,64,0.99,Avg_CE_Test,89.78428413949106
ALL,64,0.985,Avg_CE_Test,89.704910546497
ALL,64,0.98,Avg_CE_Test,89.37494050000001
ALL,64,0.96,Avg_CE_Test,79.60024504649705
ALL,64,0.94,Avg_CE_Test,66.42449754649702
ALL,64,0.92,Avg_CE_Test,56.684924546497015
ALL,64,0.9,Avg_CE_Test,50.7005525
ALL,64,0.8,Avg_CE_Test,38.48568454649702
ALL,64,0.7,Avg_CE_Test,34.70476304649702
ALL,64,0.6,Avg_CE_Test,35.21812254649702
ALL,64,0.5,Avg_CE_Test,38.021603511467255
ALL,64,0.4,Avg_CE_Test,39.81508919745534
ALL,64,0.3,Avg_CE_Test,41.726107883443426
ALL,64,0.2,Avg_CE_Test,44.15596297643748
ALL,64,0.1,Avg_CE_Test,46.77911947643748
ALL,64,0.0,Avg_CE_Test,51.89492206943153
ALL,1024,1.0,Avg_CE_Train,89.80081862676779
ALL,1024,0.995,Avg_CE_Train,87.49776444140772
ALL,1024,0.99,Avg_CE_Train,87.47900963949107
ALL,1024,0.985,Avg_CE_Train,87.38882204649703
ALL,1024,0.98,Avg_CE_Train,86.90797704649702
ALL,1024,0.96,Avg_CE_Train,75.27882850000002
ALL,1024,0.94,Avg_CE_Train,60.722412546497026
ALL,1024,0.92,Avg_CE_Train,51.73250154649701
ALL,1024,0.9,Avg_CE_Train,45.69323154649702
ALL,1024,0.8,Avg_CE_Train,33.682401000000006
ALL,1024,0.7,Avg_CE_Train,29.716172546497024
ALL,1024,0.6,Avg_CE_Train,28.992557546497025
ALL,1024,0.5,Avg_CE_Train,32.30126941847321
ALL,1024,0.4,Avg_CE_Train,33.734331604461296
ALL,1024,0.3,Avg_CE_Train,35.25797569745535
ALL,1024,0.2,Avg_CE_Train,37.235644790449385
ALL,1024,0.1,Avg_CE_Train,38.70137897643748
ALL,1024,0.0,Avg_CE_Train,40.395146476437475
ALL,1024,1.0,Avg_CE_Test,89.80081862676779
ALL,1024,0.995,Avg_CE_Test,89.80027194140771
ALL,1024,0.99,Avg_CE_Test,89.77927413949108
ALL,1024,0.985,Avg_CE_Test,89.67406954649702
ALL,1024,0.98,Avg_CE_Test,89.092901046497
ALL,1024,0.96,Avg_CE_Test,75.96924500000003
ALL,1024,0.94,Avg_CE_Test,60.803886546497026
ALL,1024,0.92,Avg_CE_Test,51.67176854649702
ALL,1024,0.9,Avg_CE_Test,45.54656554649703
ALL,1024,0.8,Avg_CE_Test,33.364606
ALL,1024,0.7,Avg_CE_Test,29.36132854649702
ALL,1024,0.6,Avg_CE_Test,28.66540254649702
ALL,1024,0.5,Avg_CE_Test,32.0145374184732
ALL,1024,0.4,Avg_CE_Test,33.51052360446129
ALL,1024,0.3,Avg_CE_Test,35.00769019745536
ALL,1024,0.2,Avg_CE_Test,37.081154790449396
ALL,1024,0.1,Avg_CE_Test,38.61366447643748
ALL,1024,0.0,Avg_CE_Test,40.41909297643748
