Batch_Number,Mean_Fit_CE,Std_Fit_CE
193,0.3168343575241663,0.003383910620575794
194,0.3167078879561981,0.0033947595117140668
195,0.31658275684223175,0.0034055269119997855
196,0.31645894329030405,0.0034162135813967476
197,0.31633642683846835,0.0034268202763518794
198,0.31621518744382526,0.003437347749500819
199,0.3160952054718885,0.003447796749397456
200,0.3159764616862709,0.003458168020265767
201,0.31585893723868247,0.003468462301772713
202,0.31574261365922596,0.003478680328820716
203,0.31562747284698156,0.0034888228313584902
204,0.31551349706087306,0.003498890534209118
205,0.31540066891079993,0.003508884156914187
206,0.3152889713490319,0.003518804413592996
207,0.315178387661855,0.0035286520128158852
208,0.3150689014614589,0.0035384276574906676
209,0.31496049667806075,0.0035481320447615207
210,0.31485315755225424,0.003557765865919275
211,0.31474686862757956,0.0035673298063225523
212,0.3146416147433037,0.003576824545328968
213,0.31453738102740664,0.0035862507562357446
214,0.31443415288976584,0.0035956091062291037
215,0.31433191601553173,0.0036049002563418517
216,0.3142306563586899,0.0036141248614186793
217,0.31413036013580076,0.003623283570088519
218,0.31403101381991516,0.003632377024743652
219,0.31393260413465596,0.003641405861524959
220,0.3138351180484648,0.003650370710312986
221,0.3137385427690027,0.0036592721947243806
222,0.31364286573770767,0.0036681109321133297
223,0.3135480746244952,0.003676887533577656
224,0.31345415732260656,0.003685602603969257
225,0.3133611019435918,0.003694256741908519
226,0.3132688968124291,0.003702850539802479
227,0.3131775304627732,0.003711384583866407
228,0.31308699163233106,0.003719859454148593
229,0.31299726925835863,0.003728275724558099
230,0.31290835247327564,0.0037366339628951794
231,0.31282023060039693,0.003744934730884245
232,0.3127328931497738,0.0037531785842091162
233,0.3126463298141436,0.003761366072550399
234,0.31256053046498417,0.003769497739624798
235,0.3124754851486693,0.0037775741232262175
236,0.31239118408272437,0.00378559575526844
237,0.3123076176521751,0.00379356316182935
238,0.3122247764059916,0.0038014768631964182
239,0.31214265105362066,0.0038093373739134474
240,0.3120612324616058,0.0038171452028283787
241,0.3119805116502937,0.0038249008531420882
242,0.3119004797906205,0.0038326048224580607
243,0.31182112820097996,0.0038402576028327812
244,0.31174244834416853,0.0038478596808268982
245,0.3116644318244069,0.003855411537556893
246,0.31158707038443195,0.0038629136487472824
247,0.311510355902664,0.003870366484783295
248,0.3114342803904404,0.00387777051076385
